,coincode,transactionInstant,transactionHash,amount,n-transactions
0xb3a6381070b1a15169dea646166ec0699fdaea79,CyberDragon ... (Gold),2021-10-26 19:22:36,0xd6924179cbaa19b61f698ba9719c92253f0f2968948f3bdc66368fd3bf6b2390,"7,099.521,467.621,467.621,467.621,467.621,467.621,467.621,467.626,761.042,6351,467.6411,41011,41011,41011,4102,635454.345,7132,6352,6352,6351,167.5111,410886.71886.712,6351,690.841,690.841,690.841,690.841,690.841,690.841,690.841,690.841,690.841,690.841,690.841,690.84216.0911,4105,713601.325,71349,909.4667599758577911992,6351,124.822,635801.18801.185,7132,6352,079.542,079.542,079.545,7133,004.963,004.96147,803.4862949086448742310,028.4810,028.48714.031644754391852212714.031644754391852212714.0316447543918522122,657.652,657.652,515.722,6352,6352,635331.085,7135,7132,6352,6355,7132,6352,635887.064,064.054,064.05572.63572.635,71350,00050,0002,097.892,097.895,592.961,739.060.240.245,7131,969.991,969.991,969.991,998.829,385.229,385.229,385.229,385.229,385.229,385.229,385.229,385.229,385.229,385.229,385.229,385.229,385.229,385.2251.682,297.31177.13738.530.020.020.0220,0006,473.286,473.2848,80048,8005,7132,6352,6352,6352,63511,41011,410602.68602.68162,654.512,6351,969.882,6352,6352,6352,6352,635217.012,63511,4102,6352,635891.492,6354,218.24386.92,6352,6351,150.722,6352,6352,6355,71314,334.414,334.414,334.414,334.414,334.414,334.414,334.414,334.414,334.414,334.414,334.414,334.414,334.48,578.7672964063279484162,63511,4102,6352,6350.545,71347,226.02325577879321541147,226.0232557787932154112,635265.781,235.292,6352,6352,6354,091.954,091.954,091.952,6359,016.269,016.262,6352,6352,6352,6352,6352,6352,6352,6352,6352,6352,6352,63511,41011,4102,310.1482,409.2182,409.2111,4102,398.482,398.482,6354,142.164,142.1638,349.2838,349.2838,349.28885.15885.15885.156,589.442,6352,6352,6352,6352,6351,139.87527.342,6352,6352,6352,6352,6352,6352,6352,6352,6352,6352,6352,6352,6355,7132,264.182,264.182,63511,4101,139.51,139.55,356.781,139.991,314.42,6352,659.0514,500.087,825.985,7132,6354,605.6086808919818020542,6352,099.752,099.752,099.752,6352,6352,6351,964.1611,132.965,7135,7132,065.5234,839.1234,839.1220,00026,711.55226,711.5525,7135,7135,7135,7135,7132,6352,6352,6352,6352,6355,7133,025.443,025.443,025.449,026.1055757602816262649,026.1055757602816262649,026.1055757602816262642,6352,6352,6352,6352,6352,63520,00011,4105,7132,63511,41013,801.213,801.22,450.82,6352,6352,6352,6355,7135,7131,715.41,715.411,41011,41011,4102,6352,6351,132.731,132.731,132.734,066.331,101.62,8442,6352,63511,575.6411,575.646,021.7286,021.7282,623.032,623.032,623.0324,865.3624,865.362,6359,237.29,237.22,63511,41011,41011,410764.595,7135,7132,6352,6352,6355,7135,7135,7135,7135,7135,7135,7135,7135,7135,7135,7135,7135,7135,7130.560.560.560.560.562,6354,576.1128395465665492981,015.51,0502,6355,7132,234.671,015.472,000.252,234.652,234.652,63550,0001,970.361,970.361,970.361,015.751,015.752,63511,41011,4102,6352,63550,00050,0001,446.061,446.062,63510.8850,00050,00050,000435.082,6352,6352,297.5614,040.82,6352,6352,6352,6352,635435.06435.065,7132,297.62,297.62,297.62,297.62,6355,7132,532.691,097.944352,635434.982,6355,571.85,571.82,6352,6352,6352,6352,6352,635203,279.681955583930239611203,279.6819555839302396115,7135,7135,7135,7135,7135,7131,879.921,879.921,879.921,879.921,879.92762.992,6352,6352,63532,268.6432,268.642,6352,6352,6358,525.23209622625884573711,41011,41011,41011,41011,41011,4102,6352,6355,7132,6352,6352,6352,6352,635607.56607.56607.56607.57607.57607.57607.57607.572,6352,6352,6352,6352,6352,840.181,7231,72311,41011,41011,4101,722.735,7132,924.87601.9625.32,306.682,6352,6352,6352,6356,912.086,912.082,6352,6354,057.574,057.572,258.152,258.152,63513,357.2413,357.242,6352,6352,6352,635664.295,7135,7135,7132,6352,6352,6352,6352,6353,917.69868.56868.562,635604.87604.875,394.783,701.013,701.013,701.0120,0002,6352,6352,6352,6352,6352,6351,597.641,597.641,597.642,6352,6352,6352,6352,6352,6355,721.52391.8391.83,674.883,031.922,340.82,6352,63520,0002,625.032,624.992,624.992,624.992,625.092,6352,6352,6352,6352,6351,070.5970,0001,070.51765.61937.092,6352,6352,6352,6352,6352,6352,635477.54477.5450,00050,0002,63550,0002,6355,405.7161398952269696882,6352,635289.832,6352,635289.83289.8320,000289.71289.71289.715,7135,71311,4102,6352,6356,236.162,6352,6352,63511,4102,6352,6352,6352,6352,6352,6352,6352,6352,6352,6352,6352,6352,6352,6351,790.62,6358,0005,713873.45524.7330641,315.7811,4102,485.236,971.521,156.772,6355,7132,6352,6354,148.482,6352,6352,297.66871.8126,092.8739.74739.74476,209.3193001107163720533,307.683,307.683,307.68602.76602.76679.111,016.231,016.2311,4102,195.712,195.712,195.71978.3978.35,7135,7135,7131,01621,473.762,6352,6352,63511,685.81,016.332,6355,663.282,6352,130.12,130.12,130.117,185.9217,185.921,016.131,016.131,016.141,964.41,481.5421,481.5422,6352,6352,6352,6352,6352,6352,63511,4105,312.1612,0005,71311,41011,41011,4106,144.9762,6352,63538,981.6838,981.68110,0001,776.1229,551.685,7135,7133,410.453,410.453,410.452,6352,6352,6352,6352,6352,6352,6352,608.82,608.82,6352,635860.43860.43860.432,6354,125.874,125.871,157.541,157.541,157.545,923.262,6352,6352,6352,6352,6352,843.85,7135,7135,0575,0575,0575,7135,7132,6352,6352,6352,6352,6352,6352,6352,6352,6352,6352,6352,6352,6352,6352,077.4414,303924.112,6352,6352,635423.68423.68423.68423.682,6352,6352,6352,6352,6352,6352,6352,63529,5842,635",1472
0x55b53855eae06c4744841dbfa06fce335db4355b,SatoshiStree... (SSB),2021-10-26 15:50:46,0x2dbdcd2b0a20e21e09e7efc94babe224435c2e6dd3346fbd6e6b03d39e4a9f0e,"6,686,828,966.462071566189,043,050.8814309642,140,006,604.603299142824,645,509.872179433",10
0x6947c7462f53fa848d441673180a7f2e09bc09a6,Monster Gran... (MPGX),2021-10-25 21:08:23,0x3880f8afc6cf85939f677b9fcd1e80afb187c6f0cae98d2ba6ccbb7cce7cc543,4.428420180269351528,1
0xedf0c420bc3b92b961c6ec411cc810ca81f5f21a,Binance-Peg ... (anyUSD...),2021-10-26 15:40:43,0xf8b853b9867d6157e8e22addde6311b0de7da4c1fff7e89bcf9291c9518db6ba,"82,660.92750.7565",6
0x2ce9daaaecf41914504d60ea9c7c8df1dc44ba9f,HashUp (Hash),2021-10-26 15:23:08,0x2d03870c367a2ede0e6239261fb2c1444f1c4f2af78a5878504669552d6bb381,213.7213.7,5
0x90fe761c696066672190cc62a84a2a41bc630a1b,DGT (DGT),2021-10-26 19:12:31,0xf8224805ca1347c8974fa58cd1a070e3d5784beb2636a7aff3736a8582934a82,23.689.119.111.941.836.64.214.211.946.911.941.946.66996.65.55.55.56.664.211.281.281.282.76.665.961.281.285.965.965.9632.241.941.941.941.9452.186.22,186
0x4aac18de824ec1b553dbf342829834e4ff3f7a9f,AnchorSwap T... (ANCHOR),2021-10-26 15:55:01,0x407350199737f5f2dec09c3c56bf1b43ce63821a09abdda3f4ba27b3b7465e40,"4.314234565660766195641.392742254,266.1876723761365760418,715.598435285479523964.443859649122807017303.36997059847079761114,789.286066675451383542303.3699705984707976113,474.0593777896931006163,474.05937778969310061659.171929824561403508226.899431710635693512",28
0x7c93647af14f0ca3042ad1f063efb3520ccc8058,Highshibax (HIGHSH...),2021-10-26 9:09:20,0x66764a9fd88e4e4c4c37880f7a65114858603db4ad9f5a2dbc5795c24ec004ba,"3,348,072.0000014",9
0x230e1c53b227c348085fd12ab7700f73c9c0e6ba,Pancake LPs (Cake-L...),2021-10-25 21:08:35,0xc858ecb25c6f1a858143ad04fe4fcdecca7c6601307997e2be6fcf80e27bdf0f,9.516345037405473217,1
0xe6382cbfda9744a4069696b6d33ee11edcc24e51,DIVIDEND_TRA... (DIVIDE...),2021-10-26 9:09:20,0x66764a9fd88e4e4c4c37880f7a65114858603db4ad9f5a2dbc5795c24ec004ba,"20,566,728.0000086",9
0x4b9a1367d282b6a39faf67b2fa0f59a99ea98337,PAC (PAC),2021-10-26 9:06:11,0xab88df54556fea3c37f81bb13ef1c16aa700ac4ebd7b0009f90c01d398fd076d,704.34,3
0x037838b556d9c9d654148a284682c55bb5f56ef4,Lightning (LIGHT),2021-10-26 15:55:13,0xd1c4cc1e395c91b96d229a20858fbdbbca619acde5d9ce297d0eb3326d71a996,16.5580637456500570887.28430210341196224913.14134937128129092813.141349371281290928113.38995694975064805230.509612547755832475464464464,27
0xc0beb8d30173c81218ee6b7c4d42bbac65a90aaa,SafeFloki (SFF),2021-10-26 15:57:01,0x24d467690b35b0203e03520c6253f8f849bf0f16827e02c6fd85360e27949560,"3,582,666,384,180.347827799388,794,970,606.513868371388,794,970,606.51386837187,262,035,677.997261077580,587,346,157.315875671580,587,346,157.315875671580,587,346,157.315875671580,587,346,157.315875671580,587,346,157.315875671580,587,346,157.315875671580,587,346,157.315875671580,587,346,157.315875671580,587,346,157.315875671580,587,346,157.315875671580,587,346,157.315875671580,587,346,157.315875671",25
0x0bc89aa98ad94e6798ec822d0814d934ccd0c0ce,Battle Hero ... (BATH),2021-10-26 19:11:58,0x0eeb2c9d70f3f4e274d08f9d8850979af61013da08d0b35a67bceb64b1423173,"932.4373839078178778851,082146.573139090357054669227.2789598376224068151.707259730663822841151.707259730663822841924.191024077897971703924.191024077897971703482.6052335626626415420.050154320987654321265.05946.791386685938699485946.791386685938699485946.791386685938699485324.479680691382094894324.4796806913820948941,00014.8150927966007518814.8150927966007518814.81509279660075188356.25100152.911886110072386864152.9118861100723868641,440100900900138.7961002865791865556.9131944444444444447.23966701480536161236.36162127739272806336.361621277392728063122.764280782317293988108.60814802862991076547.69007937952371898447.69007937952371898447.69007937952371898447.69007937952371898447.69007937952371898447.69007937952371898447.69007937952371898447.69007937952371898447.69007937952371898447.69007937952371898447.69007937952371898447.69007937952371898447.69007937952371898447.69007937952371898423.9757426697530864223.97574266975308642102201,558.1737219503596594271,4401,4402002001,4401,4401,4403323322,079.3740354938271604942,079.3740354938271604944,542.157302458881547552505,468.0214810674970857825,468.02148106749708578223.185792059426096032851,584.7067644748603512371,584.7067644748603512374,212.35182145072975615152.4432334355536589078.2168.6584893752577419514,857.36329117171262813891.5057781441981308154,751.5882809615447110434,751.5882809615447110439009001,860.069444444444444445100151.35528032251476853123.897225704959620547",110
