,Race History
,Race #,Speed,Accuracy,Points,Place,Date,Options
90,2620,81 WPM,97.1%,87,4/5,"Aug. 15, 2021",
91,2619,89 WPM,98.1%,44,2/5,"Aug. 14, 2021",
92,2618,82 WPM,96.3%,57,3/5,"Aug. 14, 2021",
93,2617,75 WPM,95.9%,45,3/5,"Aug. 14, 2021",
94,2616,79 WPM,96.9%,71,1/5,"Aug. 14, 2021",
95,2615,89 WPM,97.6%,92,1/4,"Aug. 14, 2021",
96,2614,75 WPM,96.0%,78,3/5,"Aug. 9, 2021",
97,2613,78 WPM,96.1%,64,3/5,"Aug. 9, 2021",
98,2612,75 WPM,96.0%,62,3/5,"Aug. 9, 2021",
99,2611,83 WPM,96.5%,35,1/5,"Aug. 9, 2021",
100,2610,71 WPM,95.1%,83,1/4,"Aug. 9, 2021",
101,2609,85 WPM,96.5%,61,1/5,"Aug. 4, 2021",
102,2608,88 WPM,97.9%,59,2/5,"Aug. 4, 2021",
103,2607,87 WPM,98.0%,36,1/5,"Aug. 4, 2021",
104,2606,78 WPM,96.2%,39,3/5,"Aug. 4, 2021",
105,2605,87 WPM,96.7%,98,1/4,"Aug. 4, 2021",
106,2604,71 WPM,95.8%,78,3/4,"Aug. 4, 2021",
107,2603,81 WPM,97.1%,59,2/4,"Aug. 4, 2021",
108,2602,78 WPM,96.0%,78,1/5,"Aug. 4, 2021",
109,2601,85 WPM,97.2%,56,2/5,"Aug. 4, 2021",
110,2600,77 WPM,95.9%,79,2/4,"Aug. 4, 2021",
111,2599,83 WPM,97.1%,43,2/5,"Aug. 2, 2021",
112,2598,86 WPM,96.7%,53,1/5,"Aug. 2, 2021",
113,2597,77 WPM,96.3%,101,4/5,"Aug. 2, 2021",
114,2596,91 WPM,97.9%,82,1/4,"Aug. 2, 2021",
115,2595,78 WPM,97.2%,69,3/5,"Aug. 2, 2021",
116,2594,84 WPM,98.5%,48,3/5,"July 28, 2021",
117,2593,74 WPM,96.6%,95,2/3,"July 22, 2021",
118,2592,82 WPM,97.4%,84,2/5,"July 22, 2021",
119,2591,80 WPM,96.3%,76,3/5,"July 22, 2021",
120,2590,82 WPM,96.4%,52,4/5,"July 22, 2021",
121,2589,82 WPM,96.5%,104,4/5,"July 22, 2021",
122,2588,86 WPM,97.9%,78,3/4,"July 22, 2021",
123,2587,84 WPM,98.2%,36,3/5,"July 22, 2021",
124,2586,89 WPM,98.5%,46,1/5,"July 19, 2021",
125,2585,90 WPM,98.4%,79,3/5,"July 19, 2021",
126,2584,89 WPM,97.5%,67,1/5,"July 19, 2021",
127,2583,82 WPM,96.5%,68,3/5,"July 19, 2021",
128,2582,87 WPM,97.8%,55,2/5,"July 19, 2021",
129,2581,96 WPM,98.4%,21,1/5,"July 18, 2021",
130,2580,83 WPM,97.4%,57,2/5,"July 15, 2021",
131,2579,84 WPM,96.7%,47,1/5,"July 12, 2021",
132,2578,74 WPM,95.6%,89,3/5,"July 12, 2021",
133,2577,96 WPM,98.5%,59,1/5,"July 12, 2021",
134,2576,80 WPM,96.3%,55,1/5,"July 12, 2021",
135,2575,84 WPM,97.5%,35,2/5,"July 12, 2021",
136,2574,80 WPM,96.8%,53,3/5,"July 12, 2021",
137,2573,74 WPM,95.1%,60,2/5,"July 12, 2021",
138,2572,78 WPM,97.4%,48,3/5,"July 12, 2021",
139,2571,78 WPM,96.6%,65,2/5,"July 12, 2021",
140,2570,82 WPM,95.8%,41,3/5,"July 12, 2021",
141,2569,84 WPM,96.6%,50,3/5,"July 12, 2021",
142,2568,93 WPM,98.6%,56,1/5,"July 12, 2021",
143,2567,86 WPM,98.1%,42,2/5,"July 12, 2021",
144,2566,79 WPM,96.1%,82,1/5,"July 12, 2021",
145,2565,71 WPM,96.9%,38,2/5,"July 12, 2021",
146,2564,88 WPM,96.7%,76,1/5,"July 12, 2021",
147,2563,77 WPM,96.4%,128,5/5,"July 12, 2021",
148,2562,86 WPM,97.8%,80,3/5,"July 11, 2021",
149,2561,84 WPM,97.0%,127,1/5,"July 11, 2021",
150,2560,82 WPM,96.5%,66,3/5,"July 11, 2021",
151,2559,79 WPM,97.6%,55,2/4,"July 11, 2021",
152,2558,96 WPM,98.6%,38,4/5,"July 11, 2021",
153,2557,80 WPM,96.8%,48,3/5,"July 8, 2021",
154,2556,77 WPM,96.6%,71,3/5,"July 8, 2021",
155,2555,81 WPM,96.6%,47,3/5,"July 8, 2021",
156,2554,90 WPM,98.3%,56,2/5,"July 8, 2021",
157,2553,76 WPM,96.3%,80,5/5,"July 8, 2021",
158,2552,75 WPM,96.0%,86,2/5,"July 8, 2021",
159,2551,89 WPM,97.5%,52,2/5,"July 8, 2021",
160,2550,75 WPM,97.0%,54,2/4,"July 8, 2021",
161,2549,79 WPM,97.0%,50,2/5,"July 8, 2021",
162,2548,83 WPM,97.8%,64,4/5,"July 8, 2021",
163,2547,88 WPM,97.7%,45,3/4,"July 8, 2021",
164,2546,87 WPM,97.2%,67,4/5,"July 8, 2021",
165,2545,81 WPM,97.3%,89,1/5,"July 8, 2021",
166,2544,89 WPM,98.5%,128,3/4,"July 8, 2021",
167,2543,90 WPM,98.7%,81,2/5,"July 8, 2021",
168,2542,77 WPM,96.3%,56,2/5,"July 7, 2021",
169,2541,87 WPM,97.1%,45,2/5,"July 6, 2021",
170,2540,76 WPM,96.2%,83,3/5,"July 6, 2021",
171,2539,82 WPM,97.9%,57,1/4,"July 6, 2021",
172,2538,76 WPM,95.3%,61,5/5,"July 6, 2021",
173,2537,80 WPM,96.6%,52,3/5,"July 6, 2021",
174,2536,79 WPM,97.6%,38,1/5,"July 6, 2021",
175,2535,84 WPM,95.0%,63,5/5,"July 6, 2021",
176,2534,77 WPM,96.7%,102,3/5,"July 6, 2021",
177,2533,81 WPM,97.0%,66,2/4,"July 6, 2021",
178,2532,79 WPM,96.0%,70,4/5,"July 6, 2021",
179,2531,76 WPM,96.6%,54,2/4,"July 5, 2021",
180,2530,81 WPM,96.9%,47,5/5,"July 5, 2021",
181,2529,79 WPM,96.8%,100,1/4,"July 5, 2021",
182,2528,75 WPM,96.5%,87,5/5,"July 5, 2021",
183,2527,74 WPM,96.5%,38,3/5,"July 5, 2021",
184,2526,77 WPM,95.9%,50,4/5,"July 5, 2021",
185,2525,88 WPM,98.7%,65,2/5,"July 4, 2021",
186,2524,80 WPM,97.7%,45,5/5,"July 4, 2021",
187,2523,87 WPM,98.2%,46,3/5,"July 4, 2021",
188,2522,88 WPM,97.5%,55,2/5,"July 4, 2021",
189,2521,82 WPM,97.4%,72,3/5,"July 4, 2021",
190,2520,83 WPM,97.8%,73,2/5,"July 4, 2021",
191,2519,76 WPM,97.0%,38,3/5,"July 4, 2021",
192,2518,88 WPM,97.5%,50,2/5,"July 4, 2021",
193,2517,75 WPM,97.1%,60,2/3,"July 4, 2021",
194,2516,86 WPM,97.6%,91,1/4,"July 4, 2021",
195,2515,81 WPM,97.6%,83,1/5,"July 4, 2021",
196,2514,71 WPM,97.5%,38,3/5,"July 4, 2021",
197,2513,76 WPM,96.1%,58,2/5,"July 4, 2021",
198,2512,76 WPM,97.7%,38,2/5,"July 4, 2021",
199,2511,93 WPM,97.6%,65,1/5,"July 4, 2021",
200,2510,85 WPM,98.8%,41,2/5,"July 2, 2021",
201,2509,79 WPM,96.6%,41,1/5,"July 2, 2021",
202,2508,82 WPM,96.5%,88,3/5,"July 2, 2021",
203,2507,73 WPM,95.5%,59,3/5,"July 1, 2021",
204,2506,85 WPM,96.6%,63,3/5,"July 1, 2021",
205,2505,80 WPM,97.8%,36,3/5,"July 1, 2021",
206,2504,86 WPM,96.3%,67,1/5,"July 1, 2021",
207,2503,81 WPM,97.4%,81,1/3,"June 28, 2021",
208,2502,68 WPM,96.9%,37,2/5,"June 28, 2021",
209,2501,82 WPM,97.9%,49,3/5,"June 28, 2021",
210,2500,87 WPM,98.9%,65,2/4,"June 28, 2021",
211,2499,85 WPM,97.8%,62,1/5,"June 28, 2021",
212,2498,76 WPM,97.0%,62,4/5,"June 28, 2021",
213,2497,78 WPM,96.5%,76,4/5,"June 24, 2021",
214,2496,82 WPM,96.9%,63,1/5,"June 24, 2021",
215,2495,85 WPM,97.6%,61,4/5,"June 24, 2021",
216,2494,70 WPM,94.5%,37,1/5,"June 24, 2021",
217,2493,76 WPM,95.3%,78,3/5,"June 24, 2021",
218,2492,90 WPM,98.4%,48,1/5,"June 24, 2021",
219,2491,86 WPM,98.5%,62,2/5,"June 21, 2021",
220,2490,80 WPM,97.8%,66,3/5,"June 21, 2021",
221,2489,83 WPM,97.2%,127,2/4,"June 21, 2021",
222,2488,91 WPM,98.9%,48,3/5,"June 21, 2021",
223,2487,83 WPM,97.2%,83,1/5,"June 19, 2021",
224,2486,81 WPM,98.2%,63,2/5,"June 19, 2021",
225,2485,86 WPM,98.8%,48,2/5,"June 19, 2021",
226,2484,78 WPM,97.3%,65,2/4,"June 19, 2021",
227,2483,80 WPM,97.2%,65,2/5,"June 19, 2021",
228,2482,82 WPM,97.7%,73,2/5,"June 19, 2021",
229,2481,80 WPM,96.8%,107,3/5,"June 19, 2021",
230,2480,78 WPM,97.9%,45,4/5,"June 19, 2021",
231,2479,90 WPM,98.2%,15,2/5,"June 17, 2021",
232,2478,83 WPM,98.3%,67,5/5,"June 17, 2021",
233,2477,79 WPM,97.3%,29,2/5,"June 17, 2021",
234,2476,90 WPM,97.7%,102,1/5,"June 15, 2021",
235,2475,90 WPM,98.2%,73,2/5,"June 14, 2021",
236,2474,85 WPM,97.1%,72,2/5,"June 14, 2021",
237,2473,81 WPM,95.6%,77,3/5,"June 10, 2021",
238,2472,91 WPM,97.7%,55,2/5,"June 10, 2021",
239,2471,97 WPM,97.8%,52,1/5,"June 10, 2021",
240,2470,80 WPM,96.6%,61,2/5,"June 5, 2021",
241,2469,81 WPM,96.7%,50,3/4,"June 5, 2021",
242,2468,89 WPM,98.5%,80,1/5,"June 4, 2021",
243,2467,90 WPM,97.3%,60,2/5,"June 3, 2021",
244,2466,83 WPM,97.1%,86,3/5,"June 3, 2021",
245,2465,76 WPM,95.9%,61,5/5,"June 3, 2021",
246,2464,71 WPM,98.0%,51,4/5,"June 3, 2021",
247,2463,82 WPM,97.7%,63,3/5,"June 3, 2021",
248,2462,77 WPM,96.3%,74,4/5,"June 1, 2021",
249,2461,87 WPM,98.4%,58,2/5,"June 1, 2021",
250,2460,78 WPM,97.1%,45,1/5,"June 1, 2021",
251,2459,78 WPM,96.4%,52,5/5,"June 1, 2021",
252,2458,75 WPM,97.1%,53,2/4,"June 1, 2021",
253,2457,79 WPM,97.2%,63,3/5,"June 1, 2021",
254,2456,81 WPM,97.0%,42,3/5,"June 1, 2021",
255,2455,78 WPM,97.3%,45,1/5,"June 1, 2021",
256,2454,83 WPM,96.6%,76,3/5,"June 1, 2021",
257,2453,75 WPM,97.2%,35,3/5,"June 1, 2021",
258,2452,84 WPM,97.7%,60,1/5,"May 31, 2021",
259,2451,79 WPM,96.5%,57,2/5,"May 31, 2021",
260,2450,91 WPM,98.2%,52,2/5,"May 31, 2021",
261,2449,85 WPM,96.7%,95,1/5,"May 31, 2021",
262,2448,72 WPM,96.9%,29,1/5,"May 30, 2021",
263,2447,74 WPM,95.8%,47,3/5,"May 30, 2021",
264,2446,82 WPM,97.0%,57,2/5,"May 30, 2021",
265,2445,91 WPM,98.9%,71,1/5,"May 29, 2021",
266,2444,88 WPM,97.8%,64,2/4,"May 28, 2021",
267,2443,78 WPM,95.7%,66,1/5,"May 28, 2021",
268,2442,77 WPM,96.2%,116,2/3,"May 28, 2021",
269,2441,79 WPM,97.2%,67,1/5,"May 28, 2021",
270,2440,77 WPM,95.8%,47,4/5,"May 26, 2021",
271,2439,79 WPM,96.6%,142,4/4,"May 26, 2021",
272,2438,80 WPM,97.1%,88,2/5,"May 26, 2021",
273,2437,88 WPM,98.3%,82,3/5,"May 26, 2021",
274,2436,78 WPM,96.3%,62,2/4,"May 26, 2021",
