,Race History
,Race #,Speed,Accuracy,Points,Place,Date,Options
421,2289,88 WPM,97.8%,60,5/5,"May 2, 2021",
422,2288,77 WPM,97.0%,58,1/5,"May 2, 2021",
423,2287,86 WPM,97.8%,90,3/5,"April 29, 2021",
424,2286,81 WPM,97.2%,79,3/5,"April 29, 2021",
425,2285,70 WPM,95.7%,28,3/5,"April 29, 2021",
426,2284,85 WPM,98.9%,72,1/5,"April 29, 2021",
427,2283,75 WPM,96.0%,52,5/5,"April 29, 2021",
428,2282,85 WPM,98.1%,86,1/5,"April 29, 2021",
429,2281,80 WPM,97.7%,62,2/5,"April 29, 2021",
430,2280,80 WPM,97.4%,71,2/5,"April 29, 2021",
431,2279,86 WPM,97.0%,70,1/5,"April 29, 2021",
432,2278,74 WPM,96.6%,93,2/3,"April 29, 2021",
433,2277,79 WPM,96.4%,60,3/5,"April 29, 2021",
434,2276,78 WPM,97.3%,82,1/5,"April 29, 2021",
435,2275,89 WPM,99.2%,76,3/5,"April 29, 2021",
436,2274,82 WPM,98.0%,64,4/5,"April 29, 2021",
437,2273,85 WPM,97.3%,42,3/5,"April 29, 2021",
438,2272,79 WPM,97.2%,54,2/5,"April 29, 2021",
439,2271,82 WPM,96.8%,50,3/5,"April 29, 2021",
440,2270,96 WPM,99.0%,104,1/5,"April 29, 2021",
441,2269,81 WPM,97.4%,52,2/5,"April 29, 2021",
442,2268,83 WPM,97.6%,72,3/5,"April 29, 2021",
443,2267,78 WPM,98.7%,35,5/5,"April 29, 2021",
444,2266,80 WPM,96.4%,71,4/5,"April 29, 2021",
445,2265,81 WPM,97.4%,48,2/5,"April 29, 2021",
446,2264,88 WPM,97.7%,53,5/5,"April 29, 2021",
447,2263,70 WPM,95.7%,39,3/5,"April 29, 2021",
448,2262,88 WPM,98.6%,47,1/4,"April 29, 2021",
449,2261,75 WPM,96.5%,92,2/5,"April 28, 2021",
450,2260,79 WPM,96.3%,83,3/5,"April 28, 2021",
451,2259,88 WPM,98.3%,63,3/5,"April 28, 2021",
452,2258,81 WPM,96.9%,96,4/5,"April 28, 2021",
453,2257,80 WPM,98.4%,79,2/5,"April 28, 2021",
454,2256,78 WPM,98.3%,51,2/5,"April 28, 2021",
455,2255,87 WPM,98.5%,77,3/4,"April 28, 2021",
456,2254,88 WPM,97.5%,54,2/5,"April 28, 2021",
457,2253,85 WPM,98.5%,68,1/5,"April 28, 2021",
458,2252,82 WPM,97.5%,134,5/5,"April 28, 2021",
459,2251,82 WPM,96.8%,66,3/5,"April 28, 2021",
460,2250,86 WPM,98.8%,51,3/5,"April 28, 2021",
461,2249,87 WPM,97.8%,44,2/5,"April 28, 2021",
462,2248,69 WPM,96.9%,42,3/5,"April 28, 2021",
463,2247,81 WPM,98.1%,64,3/5,"April 28, 2021",
464,2246,85 WPM,98.1%,38,3/5,"April 28, 2021",
465,2245,76 WPM,96.7%,61,4/5,"April 27, 2021",
466,2244,76 WPM,96.7%,47,3/5,"April 27, 2021",
467,2243,77 WPM,96.3%,54,5/5,"April 27, 2021",
468,2242,83 WPM,97.1%,69,2/4,"April 27, 2021",
469,2241,83 WPM,98.8%,40,2/5,"April 27, 2021",
470,2240,77 WPM,96.2%,51,2/5,"April 27, 2021",
471,2239,77 WPM,97.6%,57,4/4,"April 27, 2021",
472,2238,88 WPM,97.5%,80,3/4,"April 27, 2021",
473,2237,83 WPM,97.2%,68,3/5,"April 27, 2021",
474,2236,76 WPM,97.2%,50,1/5,"April 27, 2021",
475,2235,81 WPM,97.5%,107,5/5,"April 27, 2021",
476,2234,95 WPM,98.9%,57,5/5,"April 27, 2021",
477,2233,78 WPM,96.6%,59,4/5,"April 27, 2021",
478,2232,78 WPM,96.4%,62,3/5,"April 27, 2021",
479,2231,81 WPM,97.8%,72,1/5,"April 27, 2021",
480,2230,78 WPM,97.0%,107,1/4,"April 27, 2021",
481,2229,86 WPM,98.6%,64,3/5,"April 27, 2021",
482,2228,80 WPM,97.7%,59,2/5,"April 27, 2021",
483,2227,80 WPM,95.8%,61,2/5,"April 27, 2021",
484,2226,78 WPM,96.5%,69,2/5,"April 27, 2021",
485,2225,79 WPM,97.5%,34,2/5,"April 27, 2021",
486,2224,69 WPM,93.4%,47,3/5,"April 27, 2021",
487,2223,77 WPM,95.4%,50,3/5,"April 27, 2021",
488,2222,84 WPM,97.8%,138,1/5,"April 27, 2021",
489,2221,76 WPM,96.8%,59,1/5,"April 27, 2021",
490,2220,80 WPM,98.3%,68,4/5,"April 26, 2021",
491,2219,93 WPM,98.0%,59,5/5,"April 26, 2021",
492,2218,83 WPM,97.5%,133,2/3,"April 26, 2021",
493,2217,83 WPM,96.6%,48,2/5,"April 26, 2021",
494,2216,80 WPM,95.9%,72,3/5,"April 26, 2021",
495,2215,72 WPM,97.1%,59,2/5,"April 26, 2021",
496,2214,80 WPM,96.8%,104,3/5,"April 26, 2021",
497,2213,86 WPM,98.3%,85,2/5,"April 26, 2021",
498,2212,82 WPM,97.3%,41,2/5,"April 25, 2021",
499,2211,80 WPM,96.2%,102,3/5,"April 25, 2021",
500,2210,82 WPM,97.2%,48,2/5,"April 25, 2021",
501,2209,83 WPM,98.0%,48,4/5,"April 25, 2021",
502,2208,87 WPM,97.6%,99,1/5,"April 25, 2021",
503,2207,81 WPM,97.9%,69,4/5,"April 25, 2021",
504,2206,78 WPM,97.1%,112,2/5,"April 25, 2021",
505,2205,76 WPM,95.9%,74,2/4,"April 25, 2021",
506,2204,73 WPM,95.8%,37,3/5,"April 25, 2021",
507,2203,74 WPM,96.5%,69,5/5,"April 25, 2021",
508,2202,87 WPM,97.9%,48,3/5,"April 25, 2021",
509,2201,90 WPM,98.6%,62,1/5,"April 25, 2021",
510,2200,86 WPM,97.9%,39,2/4,"April 25, 2021",
511,2199,74 WPM,96.0%,52,4/5,"April 25, 2021",
512,2198,76 WPM,97.2%,66,1/5,"April 25, 2021",
513,2197,78 WPM,97.4%,104,4/5,"April 25, 2021",
514,2196,74 WPM,96.9%,54,3/5,"April 25, 2021",
515,2195,73 WPM,96.3%,55,1/5,"April 25, 2021",
516,2194,78 WPM,97.4%,48,1/5,"April 25, 2021",
517,2193,76 WPM,97.1%,40,3/5,"April 25, 2021",
518,2192,71 WPM,93.8%,59,2/4,"April 25, 2021",
519,2191,67 WPM,95.1%,83,2/5,"April 25, 2021",
520,2190,78 WPM,96.2%,61,3/3,"April 25, 2021",
521,2189,72 WPM,96.7%,96,3/4,"April 25, 2021",
522,2188,90 WPM,98.7%,84,3/5,"April 25, 2021",
523,2187,76 WPM,98.6%,61,1/5,"April 23, 2021",
524,2186,76 WPM,96.3%,51,2/5,"April 23, 2021",
525,2185,78 WPM,95.9%,65,1/5,"April 23, 2021",
526,2184,84 WPM,97.8%,45,5/5,"April 23, 2021",
527,2183,81 WPM,97.0%,54,1/5,"April 23, 2021",
528,2182,83 WPM,97.7%,43,2/5,"April 23, 2021",
529,2181,84 WPM,97.8%,66,1/5,"April 23, 2021",
530,2180,84 WPM,97.4%,60,2/4,"April 23, 2021",
531,2179,81 WPM,97.7%,53,3/5,"April 23, 2021",
532,2178,82 WPM,97.6%,48,1/5,"April 23, 2021",
533,2177,85 WPM,98.9%,42,1/5,"April 23, 2021",
534,2176,80 WPM,97.5%,102,1/5,"April 23, 2021",
535,2175,82 WPM,97.0%,74,3/5,"April 23, 2021",
536,2174,75 WPM,97.7%,55,2/4,"April 23, 2021",
537,2173,75 WPM,97.5%,53,2/5,"April 23, 2021",
538,2172,84 WPM,97.9%,56,1/5,"April 23, 2021",
539,2171,76 WPM,96.6%,39,2/5,"April 23, 2021",
540,2170,70 WPM,96.1%,68,4/5,"April 23, 2021",
541,2169,74 WPM,96.5%,77,4/5,"April 21, 2021",
542,2168,86 WPM,97.3%,90,1/4,"April 21, 2021",
543,2167,83 WPM,97.7%,73,1/5,"April 21, 2021",
544,2166,77 WPM,97.9%,50,1/5,"April 21, 2021",
545,2165,77 WPM,97.1%,109,1/5,"April 21, 2021",
546,2164,68 WPM,95.6%,97,2/4,"April 21, 2021",
547,2163,77 WPM,96.0%,40,3/5,"April 21, 2021",
548,2162,74 WPM,96.9%,38,5/5,"April 21, 2021",
549,2161,91 WPM,99.5%,59,1/5,"April 21, 2021",
550,2160,75 WPM,97.6%,105,1/4,"April 21, 2021",
551,2159,76 WPM,96.6%,72,1/5,"April 21, 2021",
552,2158,81 WPM,97.4%,59,1/5,"April 19, 2021",
553,2157,74 WPM,95.6%,50,2/5,"April 19, 2021",
554,2156,79 WPM,96.9%,154,3/5,"April 19, 2021",
555,2155,78 WPM,96.1%,61,2/5,"April 19, 2021",
556,2154,75 WPM,95.6%,42,1/5,"April 19, 2021",
557,2153,69 WPM,95.4%,71,3/5,"April 19, 2021",
558,2152,82 WPM,96.9%,49,1/4,"April 19, 2021",
559,2151,76 WPM,95.9%,58,4/5,"April 19, 2021",
560,2150,84 WPM,97.5%,79,3/5,"April 19, 2021",
561,2149,78 WPM,96.4%,140,2/5,"April 19, 2021",
562,2148,75 WPM,96.2%,60,4/5,"April 19, 2021",
563,2147,86 WPM,96.7%,67,2/5,"April 19, 2021",
564,2146,78 WPM,96.6%,52,2/5,"April 19, 2021",
565,2145,95 WPM,98.2%,19,3/5,"April 19, 2021",
566,2144,80 WPM,96.3%,47,1/5,"April 19, 2021",
567,2143,84 WPM,98.3%,55,1/5,"April 19, 2021",
568,2142,75 WPM,96.5%,70,2/5,"April 19, 2021",
569,2141,84 WPM,98.5%,55,2/5,"April 19, 2021",
570,2140,84 WPM,96.8%,45,2/5,"April 19, 2021",
571,2139,74 WPM,96.1%,67,2/5,"April 19, 2021",
572,2138,69 WPM,94.9%,46,3/4,"April 19, 2021",
573,2137,79 WPM,97.4%,43,2/5,"April 19, 2021",
574,2136,81 WPM,97.1%,58,2/5,"April 19, 2021",
575,2135,92 WPM,98.4%,77,1/5,"April 19, 2021",
576,2134,72 WPM,97.0%,92,1/5,"April 17, 2021",
577,2133,85 WPM,98.8%,46,3/5,"April 17, 2021",
578,2132,69 WPM,97.7%,48,1/5,"April 17, 2021",
579,2131,82 WPM,96.7%,67,3/5,"April 17, 2021",
580,2130,88 WPM,97.5%,54,1/5,"April 17, 2021",
581,2129,79 WPM,96.9%,35,2/4,"April 17, 2021",
582,2128,89 WPM,98.1%,128,1/5,"April 17, 2021",
583,2127,82 WPM,98.2%,52,4/5,"April 17, 2021",
584,2126,79 WPM,97.2%,66,1/5,"April 17, 2021",
585,2125,74 WPM,96.6%,54,2/5,"April 17, 2021",
586,2124,84 WPM,98.0%,43,1/4,"April 17, 2021",
587,2123,70 WPM,96.3%,38,2/5,"April 17, 2021",
588,2122,82 WPM,97.2%,42,2/4,"April 17, 2021",
589,2121,84 WPM,98.6%,63,1/5,"April 17, 2021",
590,2120,74 WPM,96.5%,38,3/5,"April 17, 2021",
591,2119,71 WPM,97.0%,56,3/5,"April 17, 2021",
592,2118,78 WPM,97.4%,89,1/5,"April 17, 2021",
593,2117,80 WPM,97.4%,95,2/4,"April 17, 2021",
594,2116,67 WPM,95.6%,44,4/5,"April 17, 2021",
595,2115,77 WPM,97.6%,86,4/4,"April 17, 2021",
596,2114,72 WPM,96.0%,54,4/4,"April 17, 2021",
597,2113,80 WPM,97.1%,99,4/5,"April 17, 2021",
598,2112,87 WPM,99.4%,48,1/5,"April 17, 2021",
599,2111,67 WPM,97.0%,51,3/5,"April 17, 2021",
600,2110,70 WPM,96.4%,28,4/5,"April 17, 2021",
601,2109,72 WPM,95.2%,55,4/5,"April 17, 2021",
602,2108,72 WPM,95.2%,45,5/5,"April 17, 2021",
603,2107,80 WPM,98.0%,69,3/5,"April 17, 2021",
604,2106,82 WPM,98.4%,44,1/5,"April 17, 2021",
605,2105,80 WPM,97.3%,55,1/5,"April 17, 2021",
606,2104,75 WPM,97.3%,54,3/5,"April 17, 2021",
607,2103,83 WPM,97.1%,87,3/5,"April 17, 2021",
608,2102,68 WPM,94.9%,63,5/5,"April 17, 2021",
609,2101,72 WPM,96.1%,86,1/5,"April 16, 2021",
610,2100,78 WPM,96.8%,61,3/5,"April 16, 2021",
611,2099,69 WPM,94.7%,39,3/5,"April 16, 2021",
612,2098,78 WPM,96.6%,73,3/5,"April 15, 2021",
613,2097,75 WPM,96.1%,74,2/5,"April 15, 2021",
614,2096,79 WPM,96.7%,70,2/5,"April 15, 2021",
615,2095,75 WPM,95.0%,36,2/4,"April 15, 2021",
616,2094,70 WPM,95.4%,123,3/5,"April 15, 2021",
617,2093,82 WPM,97.0%,94,1/5,"April 15, 2021",
618,2092,78 WPM,97.2%,52,1/5,"April 15, 2021",
619,2091,78 WPM,95.7%,111,3/4,"April 15, 2021",
620,2090,79 WPM,95.5%,76,1/5,"April 15, 2021",
621,2089,79 WPM,95.1%,17,5/5,"April 15, 2021",
622,2088,86 WPM,97.9%,67,1/5,"April 15, 2021",
623,2087,79 WPM,96.9%,95,2/5,"April 15, 2021",
624,2086,75 WPM,95.7%,83,2/5,"April 15, 2021",
625,2085,70 WPM,95.5%,56,4/4,"April 15, 2021",
626,2084,68 WPM,96.0%,45,4/5,"April 15, 2021",
627,2083,74 WPM,95.7%,110,3/5,"April 15, 2021",
628,2082,83 WPM,96.7%,51,3/5,"April 15, 2021",
629,2081,72 WPM,94.6%,100,3/5,"April 15, 2021",
630,2080,80 WPM,97.0%,71,5/5,"April 15, 2021",
631,2079,77 WPM,95.5%,68,5/5,"April 15, 2021",
632,2078,68 WPM,95.3%,66,2/5,"April 15, 2021",
633,2077,74 WPM,97.0%,42,3/5,"April 15, 2021",
634,2076,78 WPM,95.8%,73,4/5,"April 15, 2021",
635,2075,72 WPM,95.8%,42,3/4,"April 15, 2021",
636,2074,81 WPM,96.0%,93,4/5,"April 15, 2021",
637,2073,74 WPM,96.5%,53,4/5,"April 15, 2021",
638,2072,76 WPM,95.6%,84,2/5,"April 15, 2021",
639,2071,78 WPM,97.4%,32,3/5,"April 15, 2021",
640,2070,71 WPM,96.2%,44,2/5,"April 15, 2021",
641,2069,79 WPM,96.8%,62,3/5,"April 15, 2021",
642,2068,71 WPM,95.5%,127,1/4,"April 15, 2021",
643,2067,81 WPM,97.1%,88,1/5,"April 15, 2021",
644,2066,76 WPM,94.6%,59,3/4,"April 15, 2021",
645,2065,71 WPM,96.1%,70,2/4,"April 15, 2021",
646,2064,71 WPM,95.3%,75,3/5,"April 15, 2021",
647,2063,72 WPM,96.6%,42,2/5,"April 15, 2021",
648,2062,82 WPM,97.4%,63,2/5,"April 15, 2021",
649,2061,80 WPM,97.0%,130,2/4,"April 15, 2021",
650,2060,76 WPM,95.9%,67,4/5,"April 15, 2021",
651,2059,76 WPM,96.0%,59,2/5,"April 15, 2021",
652,2058,73 WPM,95.8%,65,4/5,"April 15, 2021",
653,2057,82 WPM,98.1%,71,1/5,"April 15, 2021",
654,2056,85 WPM,97.2%,55,2/5,"April 15, 2021",
655,2055,57 WPM,93.8%,45,4/5,"April 15, 2021",
656,2054,77 WPM,97.3%,54,2/5,"April 15, 2021",
657,2053,78 WPM,94.0%,42,1/5,"April 15, 2021",
658,2052,69 WPM,96.0%,75,4/4,"April 15, 2021",
659,2051,80 WPM,96.2%,75,4/5,"April 15, 2021",
660,2050,82 WPM,97.3%,91,1/5,"April 15, 2021",
661,2049,76 WPM,96.5%,139,3/5,"April 15, 2021",
662,2048,73 WPM,95.1%,90,3/5,"April 15, 2021",
663,2047,71 WPM,97.3%,69,1/5,"April 15, 2021",
664,2046,77 WPM,96.3%,69,1/4,"April 14, 2021",
665,2045,70 WPM,95.7%,52,1/5,"April 14, 2021",
666,2044,71 WPM,95.9%,94,3/5,"April 14, 2021",
667,2043,94 WPM,98.8%,51,1/5,"April 14, 2021",
668,2042,69 WPM,95.0%,79,4/4,"April 14, 2021",
669,2041,72 WPM,96.5%,56,4/5,"April 14, 2021",
670,2040,73 WPM,97.4%,61,4/5,"April 14, 2021",
671,2039,77 WPM,95.5%,45,2/5,"April 14, 2021",
672,2038,72 WPM,96.0%,65,5/5,"April 14, 2021",
673,2037,71 WPM,96.0%,71,2/5,"April 14, 2021",
674,2036,68 WPM,96.4%,58,3/5,"April 14, 2021",
675,2035,76 WPM,96.3%,76,5/5,"April 14, 2021",
676,2034,85 WPM,97.3%,89,2/5,"April 14, 2021",
677,2033,78 WPM,96.4%,89,2/4,"April 14, 2021",
678,2032,69 WPM,96.6%,103,2/5,"April 14, 2021",
679,2031,81 WPM,97.7%,51,1/5,"April 14, 2021",
680,2030,72 WPM,95.8%,68,2/5,"April 14, 2021",
681,2029,72 WPM,95.9%,43,4/5,"April 14, 2021",
682,2028,80 WPM,95.8%,78,1/5,"April 14, 2021",
683,2027,71 WPM,94.8%,86,3/4,"April 14, 2021",
684,2026,70 WPM,96.4%,39,2/5,"April 14, 2021",
685,2025,73 WPM,96.8%,77,1/5,"April 14, 2021",
686,2024,67 WPM,94.7%,38,3/5,"April 14, 2021",
687,2023,77 WPM,96.8%,57,3/5,"April 14, 2021",
688,2022,72 WPM,95.7%,38,1/3,"April 14, 2021",
689,2021,72 WPM,96.7%,35,3/5,"April 13, 2021",
690,2020,71 WPM,96.1%,70,5/5,"April 13, 2021",
691,2019,79 WPM,96.7%,64,1/3,"April 13, 2021",
692,2018,75 WPM,97.0%,110,2/4,"April 12, 2021",
693,2017,70 WPM,95.5%,67,3/5,"April 11, 2021",
694,2016,69 WPM,95.3%,94,3/4,"April 11, 2021",
695,2015,71 WPM,95.3%,45,1/5,"April 11, 2021",
696,2014,75 WPM,96.8%,87,3/5,"April 11, 2021",
697,2013,81 WPM,96.9%,104,5/5,"April 11, 2021",
698,2012,74 WPM,95.7%,91,1/4,"April 8, 2021",
699,2011,72 WPM,96.6%,43,1/5,"April 8, 2021",
700,2010,74 WPM,96.2%,53,1/5,"April 8, 2021",
701,2009,61 WPM,95.1%,53,4/5,"April 8, 2021",
702,2008,73 WPM,97.2%,56,4/5,"April 7, 2021",
703,2007,78 WPM,98.4%,48,2/5,"April 7, 2021",
704,2006,74 WPM,96.0%,85,1/5,"April 7, 2021",
705,2005,75 WPM,96.4%,48,2/5,"April 7, 2021",
706,2004,71 WPM,95.1%,44,2/4,"April 7, 2021",
707,2003,71 WPM,96.3%,61,4/5,"April 7, 2021",
708,2002,69 WPM,95.4%,60,2/5,"April 7, 2021",
709,2001,72 WPM,97.5%,56,2/5,"April 7, 2021",
710,2000,63 WPM,95.4%,58,3/4,"April 7, 2021",
711,1999,64 WPM,93.5%,53,2/5,"April 7, 2021",
712,1998,84 WPM,97.4%,64,3/5,"April 7, 2021",
713,1997,76 WPM,96.1%,83,2/5,"April 7, 2021",
714,1996,61 WPM,94.0%,35,4/5,"April 7, 2021",
715,1995,69 WPM,96.5%,45,1/5,"April 7, 2021",
716,1994,78 WPM,96.3%,57,5/5,"April 7, 2021",
717,1993,89 WPM,98.6%,39,3/5,"April 7, 2021",
718,1992,59 WPM,92.7%,45,2/4,"April 7, 2021",
719,1991,71 WPM,94.3%,43,1/5,"April 7, 2021",
720,1990,87 WPM,98.4%,46,1/5,"April 7, 2021",
721,1989,62 WPM,95.1%,81,4/4,"April 7, 2021",
722,1988,71 WPM,95.8%,82,1/5,"April 7, 2021",
723,1987,74 WPM,95.9%,106,4/5,"April 7, 2021",
724,1986,67 WPM,95.1%,30,4/5,"April 7, 2021",
725,1985,70 WPM,96.1%,58,3/5,"April 7, 2021",
726,1984,71 WPM,94.9%,71,2/5,"April 5, 2021",
727,1983,69 WPM,95.3%,59,3/5,"April 5, 2021",
728,1982,73 WPM,95.7%,115,4/4,"April 5, 2021",
729,1981,65 WPM,95.9%,80,3/4,"April 5, 2021",
730,1980,77 WPM,97.1%,63,2/5,"April 5, 2021",
731,1979,73 WPM,95.9%,49,4/5,"March 28, 2021",
732,1978,67 WPM,94.9%,42,3/5,"March 28, 2021",
733,1977,71 WPM,94.8%,34,3/5,"March 25, 2021",
734,1976,79 WPM,98.6%,34,1/4,"March 25, 2021",
735,1975,71 WPM,95.2%,48,2/5,"March 25, 2021",
736,1974,66 WPM,94.6%,39,3/5,"March 25, 2021",
737,1973,79 WPM,95.9%,84,1/5,"March 25, 2021",
738,1972,71 WPM,95.7%,72,4/4,"March 25, 2021",
739,1971,70 WPM,95.1%,41,1/4,"March 25, 2021",
740,1970,81 WPM,96.3%,61,1/5,"March 21, 2021",
741,1969,82 WPM,97.3%,91,2/5,"March 21, 2021",
742,1968,70 WPM,95.3%,57,4/5,"March 21, 2021",
743,1967,80 WPM,97.1%,63,3/4,"March 21, 2021",
744,1966,82 WPM,96.9%,54,3/5,"March 21, 2021",
745,1965,83 WPM,97.0%,50,2/5,"March 21, 2021",
746,1964,78 WPM,98.3%,93,2/5,"March 21, 2021",
747,1963,79 WPM,96.7%,62,1/5,"March 21, 2021",
748,1962,77 WPM,96.0%,73,3/4,"March 21, 2021",
749,1961,73 WPM,96.4%,57,4/5,"March 21, 2021",
750,1960,81 WPM,97.1%,64,2/5,"March 20, 2021",
751,1959,74 WPM,96.5%,113,3/5,"March 20, 2021",
752,1958,72 WPM,96.6%,49,2/5,"March 20, 2021",
753,1957,84 WPM,97.8%,53,1/5,"March 20, 2021",
754,1956,76 WPM,96.0%,73,2/5,"March 20, 2021",
755,1955,76 WPM,96.6%,53,5/5,"March 20, 2021",
756,1954,71 WPM,96.0%,89,2/4,"March 20, 2021",
757,1953,74 WPM,95.7%,71,4/5,"March 19, 2021",
758,1952,76 WPM,95.3%,66,4/5,"March 19, 2021",
759,1951,68 WPM,96.3%,62,3/4,"March 19, 2021",
760,1950,70 WPM,96.1%,56,4/5,"March 19, 2021",
761,1949,73 WPM,96.8%,88,4/5,"March 19, 2021",
762,1948,73 WPM,97.1%,44,2/5,"March 19, 2021",
763,1947,83 WPM,97.9%,58,1/5,"March 19, 2021",
764,1946,73 WPM,95.5%,72,4/5,"March 19, 2021",
765,1945,78 WPM,96.7%,122,2/5,"March 19, 2021",
766,1944,69 WPM,95.1%,77,1/5,"March 19, 2021",
767,1943,84 WPM,97.2%,50,3/5,"March 19, 2021",
768,1942,77 WPM,96.9%,136,3/5,"March 19, 2021",
769,1941,77 WPM,97.3%,52,3/5,"March 19, 2021",
770,1940,72 WPM,95.4%,65,2/5,"March 19, 2021",
771,1939,84 WPM,97.3%,78,2/5,"March 19, 2021",
772,1938,82 WPM,97.1%,55,1/5,"March 19, 2021",
773,1937,74 WPM,95.3%,60,2/5,"March 19, 2021",
774,1936,84 WPM,97.8%,66,2/5,"March 19, 2021",
775,1935,68 WPM,95.8%,67,4/5,"March 19, 2021",
776,1934,77 WPM,96.0%,119,1/5,"March 19, 2021",
777,1933,77 WPM,96.1%,98,1/5,"March 19, 2021",
778,1932,58 WPM,96.2%,9,4/5,"March 19, 2021",
779,1931,76 WPM,96.1%,65,4/4,"March 19, 2021",
780,1930,75 WPM,96.4%,61,4/5,"March 19, 2021",
781,1929,61 WPM,95.7%,39,4/5,"March 19, 2021",
782,1928,74 WPM,96.2%,71,3/5,"March 19, 2021",
783,1927,74 WPM,97.0%,62,2/5,"March 18, 2021",
784,1926,79 WPM,96.6%,62,4/5,"March 18, 2021",
785,1925,74 WPM,97.6%,90,4/5,"March 18, 2021",
786,1924,74 WPM,96.3%,67,1/5,"March 18, 2021",
787,1923,67 WPM,95.3%,43,3/5,"March 18, 2021",
788,1922,85 WPM,97.3%,103,3/5,"March 18, 2021",
789,1921,85 WPM,97.8%,60,1/5,"March 18, 2021",
790,1920,69 WPM,95.6%,57,2/5,"March 18, 2021",
791,1919,79 WPM,96.4%,67,2/5,"March 18, 2021",
792,1918,89 WPM,99.4%,54,1/5,"March 18, 2021",
793,1917,73 WPM,96.1%,61,1/5,"March 18, 2021",
794,1916,78 WPM,97.2%,55,4/5,"March 18, 2021",
795,1915,81 WPM,97.7%,75,2/5,"March 18, 2021",
796,1914,71 WPM,97.6%,59,2/3,"March 18, 2021",
797,1913,78 WPM,97.0%,94,2/5,"March 18, 2021",
798,1912,80 WPM,98.4%,64,4/5,"March 18, 2021",
799,1911,76 WPM,96.1%,96,1/4,"March 18, 2021",
800,1910,84 WPM,97.9%,49,4/5,"March 18, 2021",
801,1909,78 WPM,95.6%,47,4/5,"March 18, 2021",
802,1908,80 WPM,98.9%,48,2/5,"March 18, 2021",
803,1907,87 WPM,98.7%,48,1/5,"March 18, 2021",
804,1906,70 WPM,95.9%,47,1/5,"March 17, 2021",
805,1905,79 WPM,98.0%,36,3/5,"March 17, 2021",
806,1904,72 WPM,96.5%,94,4/5,"March 17, 2021",
807,1903,74 WPM,96.1%,65,3/5,"March 17, 2021",
808,1902,71 WPM,96.7%,39,3/5,"March 16, 2021",
809,1901,84 WPM,98.0%,73,3/5,"March 16, 2021",
810,1900,79 WPM,98.7%,63,3/5,"March 16, 2021",
811,1899,85 WPM,97.7%,44,1/4,"March 16, 2021",
812,1898,72 WPM,96.7%,128,3/5,"March 16, 2021",
813,1897,72 WPM,95.7%,56,4/5,"March 16, 2021",
814,1896,70 WPM,96.2%,63,1/5,"March 16, 2021",
815,1895,90 WPM,98.2%,66,4/5,"March 16, 2021",
816,1894,76 WPM,97.3%,65,3/5,"March 16, 2021",
817,1893,71 WPM,95.4%,74,3/5,"March 16, 2021",
818,1892,80 WPM,97.7%,28,1/5,"March 16, 2021",
819,1891,70 WPM,96.3%,36,1/5,"March 16, 2021",
820,1890,70 WPM,95.9%,52,4/5,"March 14, 2021",
821,1889,72 WPM,96.0%,35,2/5,"March 14, 2021",
822,1888,77 WPM,96.6%,49,1/5,"March 14, 2021",
823,1887,77 WPM,96.3%,55,1/5,"March 14, 2021",
824,1886,69 WPM,95.0%,34,3/5,"March 14, 2021",
825,1885,83 WPM,97.2%,99,1/4,"March 14, 2021",
826,1884,74 WPM,97.3%,50,1/4,"March 14, 2021",
827,1883,78 WPM,97.7%,46,2/5,"March 14, 2021",
828,1882,81 WPM,97.8%,90,1/5,"March 14, 2021",
829,1881,70 WPM,96.9%,65,2/5,"March 14, 2021",
830,1880,74 WPM,95.1%,41,2/5,"March 14, 2021",
831,1879,67 WPM,96.8%,51,4/5,"March 14, 2021",
832,1878,72 WPM,95.8%,91,2/5,"March 12, 2021",
833,1877,82 WPM,98.5%,73,1/5,"March 12, 2021",
834,1876,74 WPM,96.6%,85,1/3,"March 12, 2021",
835,1875,75 WPM,96.8%,105,1/5,"March 12, 2021",
836,1874,78 WPM,96.2%,106,1/5,"March 12, 2021",
837,1873,70 WPM,94.7%,66,4/5,"March 12, 2021",
838,1872,74 WPM,94.9%,74,1/5,"March 12, 2021",
839,1871,74 WPM,96.9%,47,1/5,"March 12, 2021",
840,1870,79 WPM,96.4%,55,4/5,"March 12, 2021",
841,1869,77 WPM,97.8%,117,3/3,"March 12, 2021",
842,1868,69 WPM,97.1%,75,2/5,"March 12, 2021",
843,1867,75 WPM,95.8%,46,2/5,"March 9, 2021",
844,1866,87 WPM,98.6%,44,1/5,"March 9, 2021",
845,1865,83 WPM,98.8%,55,3/5,"March 9, 2021",
846,1864,79 WPM,97.1%,46,3/5,"March 9, 2021",
847,1863,66 WPM,95.0%,48,4/5,"March 9, 2021",
848,1862,71 WPM,96.4%,77,4/4,"March 4, 2021",
849,1861,73 WPM,97.2%,57,4/5,"March 3, 2021",
850,1860,87 WPM,99.4%,49,1/5,"March 2, 2021",
851,1859,75 WPM,97.5%,66,4/5,"March 2, 2021",
852,1858,78 WPM,96.1%,76,4/5,"March 2, 2021",
853,1857,74 WPM,96.6%,79,5/5,"March 2, 2021",
854,1856,76 WPM,96.1%,78,4/5,"March 2, 2021",
855,1855,80 WPM,96.9%,66,3/5,"March 2, 2021",
856,1854,82 WPM,98.5%,62,2/5,"March 2, 2021",
