,amount,amount_usd,coincode,n-transactions,pool_usd,price,transactionHash,transactionInstant,volume
0xb21225f833f2fb1be7d88ee5347aae001f5b5db1,359274309.11,565.6613696175667,SPAY (SPAY),1,3768.450215510336,1.5744553820695728e-06,0xde3084937a78ac4739abd511e55c7d3d33b5abd721abfb816ff6057c925d02c5,2021-11-09 21:52:48,29724.75802908837
0x78c019deedd0708bbb5b424fc41d53a15e3df9f8,8272744.818685822,508.7031443554808,Rocket Floki (Rfloki),8,160.1459072351264,6.149145845843839e-05,0x1100627fa25c144db29a47847d65673d22b7886ed069011e915dd104395ed410,2021-11-09 21:52:57,816.8752589225769
0x0b33542240d6fa323c796749f6d6869fdb7f13ca,37749979.47770843,4.370297820495769,Ethereum Met... (ETHM),1,3295.3051153522497,1.1576954162522008e-07,0x479065f86190f1ba77b109b0d6daef4ade57df5bed55bab85e6d2ed8e110492f,2021-11-09 21:54:00,86071.44517815928
0xde009cb3371825bafb80a01004c58f8166ee13d5,2.07485737230419e+18,0.1701460626231127,LittleUglyDu... (LUD),1,8176.484134830239,8.200373909757492e-20,0xee3a484e6c7d330c82bb64d77438c522daa7dd8da4eeeb62ed03674b8066315a,2021-11-09 21:55:51,642.7741434928939
0xc2f9d07f63c2ca2b4c0c37a2b0fe217ce4ba99b5,752.1270448202582,9.958406713747197,Hydrogen (HDGN),5,3379.1783373267003,0.0132403252646327,0x849ebff43c05968a4367e2adb63a640a6a538990b171536b74cce24e9d25d987,2021-11-09 21:55:54,21.901067972183228
0xccbf1c9e8b4f2cdf3bfba1098b8f56f97d219d53,1.0,0.0127939498052001,ccCLO (ccCLO),1,1742.9111398149987,0.0127939498052001,0xc3d95539dd186308ed1a3b6ccc6035c904dc15a636061de156287b3eab6374d6,2021-11-09 21:57:06,9509.329488719692
0x5b27ba5a9a987a77cd62a435a311604ceb9957a1,7487.475608684861,107.33242637413332,BFT (BFT),4,322.5834133251772,0.0143534884709536,0x10ce2f6613d9cf19fa1af1588e99e27962d51eab15d81ef10f1efb8d86f6737f,2021-11-09 22:19:57,22179.363967895508
0x7f617ef23dc8558e92db6c174e52b29cd1250a2a,139.32969398775083,0.4840111333754741,Crypto World... (CWIG),1,16.304721881865376,0.0034738548511993,0x1f54b3262a0fd41b9a069364d435e455e9a2d3f686576a5da96d5f5f1d13097a,2021-11-09 21:59:42,63.85518228262663
0x8219913da887688fc603f36d772e1e56f3ae70a7,80631022324770.14,4.82000062936338,BabyHamster (BHamst...),1,272.22975672189943,5.977848835835311e-14,0xe08cdf6ad19083be00fb08be42aea26a48b870562642919a7b9fe39f92390e69,2021-11-09 22:02:06,259.5040448307991
0x6cd33bc288ef772e27c3e1b05e3c200ad0d4abde,6542137.634955205,36.076984432811095,fincoin (fincoi...),1,902.096665173812,5.514556013014562e-06,0x046f11dca096f5d80faa3cd0ee8b373236e25fe3b59e3467f0f15975139f2413,2021-11-09 22:04:00,58.71633207798004
0x9265f3b8a0ae81121c42ad13e8c9dae3aa925534,31306.08990000001,185.5919278459168,Bastandorra ... (Orra),3,8.153018218931875,0.0059283011209239,0x56c7d2c41ddbc65f4a4700fdec45bb280c9e18dae2266578b6d276a2cd382973,2021-11-09 22:06:42,8.482255935668945
0x6221ad2fa0eab591940800dab578908062d15a68,229377.115602232,159.9040530109987,pregnantbutt... (PBUTT),1,6075.979089381274,0.0006971229566261,0x944e1e6d771117c24eb11dcfbebccdc7ba6ca79dd26830900f2de0dd0096fba3,2021-11-09 22:06:48,6271.387452840804
0x33778e87931ea8ee5b66776201533e40ddde1267,2500124359.520346,4.033878209117279,minitesla (minite...),2,3953.0476028591465,1.6134710234538831e-09,0xdd6fb1e6f71db1c991a77bb098f04da58d132ac97324b0cf197a9ecf94d1556e,2021-11-09 22:19:12,13024.962487755296
0x00e7daf0e5fd1f5331c92d09e3c825a8e4fc6515,1821049756895880.0,4.8604580706738725,SAFEMOON CLA... (SAFEMO...),3,30.239171015439872,2.86979326482418e-15,0xd265c7b0a0f0b7ac797e9ac7203afb181bdb78161ad0447db3a9cca4efc068e0,2021-11-09 22:22:27,8.233282685279846
0xf00598af0ccf2d43613414f36f40123337f56e71,35390117767.03352,10.932822272818996,ants.finance (ANTF),1,3013.203877853072,3.0892302604890176e-10,0xe7717b281b0331c379f10f2b2bcbb4212624ad50cab57068ef61435c32ff6a20,2021-11-09 22:19:36,2.756829261779785
0xf571bb0e1194de27fc8c20188a4d6a98ebef6821,2000.0,15.658661320378028,Fertilizerco... (FERT),4,39.907788476509225,0.007829330660189,0xce86fe21901292f6c39f519935aa82a69e5138cfb9ca5f2eb6dbc226645aafdf,2021-11-09 22:24:42,21.531216084957123
0x71c3d92e155f311a824fbbce4b25a0db69626f94,10600.0,3.289376214032102,Garfield Tok... (GRF),2,36.65245740543511,0.0003103185107577,0x0d0f243be8d64f3c4e91f468105f87c74e77386b949c1dfeb690414a718dc818,2021-11-11 22:46:12,49750.1196373885
0x2b9f948c8e71bda18398a827d3a89278e4cbd3ad,33526.482502923,8.891223144730436,MicroMeta (MMET),1,9522.611738513666,0.0002651999995512,0xa66912108ee71b24c822f8ff4ce7ded95d7613a576ebacc1f5fe5205a9b9aa88,2021-11-11 22:46:24,113220.75027971854
0x711ac24f298a90dedad71560cbc1fa721c35ebfe,14728327914.038052,11.88073279939675,DOGECHONK (DOGECH...),1,1365.6758143028453,8.066586287824862e-10,0x39b04cb21a01905c32475cc9e7f2e95f6c4b746c457117e8c4ab2aadb69c1511,2021-11-11 22:47:36,7074.045138871064
