,coincode,transactionInstant,transactionHash,amount,n-transactions
0xe6382cbfda9744a4069696b6d33ee11edcc24e51,DIVIDEND_TRA... (DIVIDE...),2021-10-25 21:08:35,0xc858ecb25c6f1a858143ad04fe4fcdecca7c6601307997e2be6fcf80e27bdf0f,"484,755,555",1
0x4b9a1367d282b6a39faf67b2fa0f59a99ea98337,PAC (PAC),2021-10-25 21:08:35,0x0d1efd626173bebfc18cc5e085de0fa8728210ea1b7c5ced78fbee02310326b5,"563,184.192780604",1
0x037838b556d9c9d654148a284682c55bb5f56ef4,Lightning (LIGHT),2021-10-25 21:08:35,0x450133c6c72c5e1144dc7f58abc4d6e51402d3fe564d5d8c69ed527aa4178b8c,27.5160907128062,1
0xc0beb8d30173c81218ee6b7c4d42bbac65a90aaa,SafeFloki (SFF),2021-10-25 21:08:35,0x43d81092d70a3dbc488e25896dfcb97f55baf01940f4f2d3892dec6e52463eb4,"318,936,383,312.499321245",1
0x0bc89aa98ad94e6798ec822d0814d934ccd0c0ce,Battle Hero ... (BATH),2021-10-25 21:08:35,0x14ca2c6971f9174112441ad505632bc8b03420e65521cfbecce894f33a1e22e7,"1,440",1
0x00e1656e45f18ec6747f5a8496fd39b50b38396d,Bomber Coin (BCOIN),2021-10-25 21:08:47,0x3ea4a45bb1dd96a1785c11d79fe61794f65d70f333fe6ca970b0072bffc94183,55.612654663957752216,4
0xd4a05523839d0d175289054022ee4e01e3dae854,Pancake LPs (Cake-L...),2021-10-25 21:08:38,0x093fb9e90c71436f42ac27f60cb454dec245e9d01a37be307cfe3c2aed2408b9,17.304410395732672353,2
0x371b1eb93a746c801ae345255f5f29b07b36326c,PixelShibaIn... (PSHIB),2021-10-25 21:08:38,0x693cc21272d33a52dce5349594d70ca9ff24848594a14d7f84b0d26988a624db,"10,705,160.231169120228474033",2
0x7bf18db86ea31000a5290249362c6dbe9fb06608,FATE (FATE),2021-10-25 21:08:56,0x21355d3d954896eb0d84bfddf592b653caf5bb3b140e2d003396fb092b0e07d9,"2,250,335.779488533397477986",3
0xc60d5cdeb237823efde3167c5918d1ccf38f8af7,Cake_Dividen... (Cake_D...),2021-10-25 21:08:56,0x21355d3d954896eb0d84bfddf592b653caf5bb3b140e2d003396fb092b0e07d9,"310,000,000",3
0x1c54b7fdfd04ec383b7a00f5d77ed19b9ea6fe76,EverETH_Divi... (EverET...),2021-10-25 21:08:44,0xf2301fd6c86ac0f092a6f4390da9e8d47600f08fdc697d9f28ab9fc0495614e2,"944,673,000.85",2
0x0ed7e52944161450477ee417de9cd3a859b14fd0,Pancake LPs (Cake-L...),2021-10-25 21:08:44,0x354baf3643c56224d45eab64d0d7853276633a0fda96221ba83e261a7bb416a8,1,2
0x5a2df2e3d11dcdb645fba2008c06fdbb114e805e,Vinyl (VINYL),2021-10-25 21:08:44,0x5308cac6adb015fb7badc3be3f8775e87d6413f5e00acd9ab9f451d1999e19aa,"44,353,201",2
0x04260673729c5f2b9894a467736f3d85f8d34fc8,CryptoPlanes (CPAN),2021-10-25 21:08:44,0xfc24c6f957646348086af9bd29243f21614254fa6c434e9ecd344d56945e4a5a,16.3604171203094617,2
0x727b531038198e27a1a4d0fd83e1693c1da94892,Block Farm C... (BFC),2021-10-25 21:08:47,0x15517ced85d5f7610fbe6266cd3b325c0b7c563d5e3e9e3d3bd551d1be8c112c,0.999997340877559424,2
0xe2cbf8572eab769311a8c562b00a14ca55eaa0ea,SHIBANOMICS (SHIBIN),2021-10-25 21:08:47,0xc3187ddc4c1c2a045b14c77b25328828dd52f2f443022a362e75518165f41596,"2,034,373.611298174",2
0x0f0328dd4b99fcd3fb0ceafea26a02d585f42c27,SHIBIN_Divid... (SHIBIN...),2021-10-25 21:08:47,0xc3187ddc4c1c2a045b14c77b25328828dd52f2f443022a362e75518165f41596,"13,614,654.167918554",2
0x257a8d1e03d17b8535a182301f15290f11674b53,Kawaii Token (KWT),2021-10-25 21:08:47,0xefb252430dd23e09ca13f7987790648376419038316c35ea09072eac8b1004c8,100,2
0xf05d7a496840d74b6f05a4416ab952fc8bb8b3ac,Pancake LPs (Cake-L...),2021-10-25 21:08:50,0x987684829e79cf42af52ae00bef56a7fe146c4332cf1ffbf15e69556ec9665ba,0.870163039828515755,2
0x7472e4f397e46eb371fe4c8e078cfda46d72415f,GreenMoon (GRM),2021-10-25 21:08:50,0x987684829e79cf42af52ae00bef56a7fe146c4332cf1ffbf15e69556ec9665ba,0.003622691,2
0x40334055d18bacf672352f68aa8d1a06aa6b3799,T1mes Zilla (T1MESZ...),2021-10-25 21:08:50,0xa056dba3d597173f73c6a463e1d4dfc3613db51e690822c65331875a527139ba,"185,130,738,312,999,000,000.883868...",2
0xbc2597d3f1f9565100582cde02e3712d03b8b0f6,SIMBCOIN SWA... (SMB SW...),2021-10-25 21:08:50,0x52949a026e05587a8093a6ee0d4dea0611e7f2c23531e73a972d8122e7d080f9,20,2
0x5b6ebb33eea2d12eefd4a9b2aeaf733231169684,Weld.Money (WELD),2021-10-25 21:08:50,0xc6bfb9178a49361f6b62e29ad053d6b05812316fd5428ff3986f789b1dc4074f,"1,928.828764401114021888",2
0x5ef7814f4cb17b38408f1f641e4b5b61c5d023a8,ButterSwap T... (BUTTER),2021-10-25 21:08:50,0x2ae85ca2582dde65e3a48385a797e638c1a7e7d322e8031aa12e7e0b7969b549,"2,782.715404699738903394",2
0xd867d3b23242de165703164cd5b7802da2c0e3d0,Cream Token (CREAM),2021-10-25 21:08:50,0x2ae85ca2582dde65e3a48385a797e638c1a7e7d322e8031aa12e7e0b7969b549,712.03752414423636618,2
0x9c541be9bd7933d60abb2e13720b9d06a66ba5b3,Legend Of Go... (LG),2021-10-25 21:08:56,0x5370d9a07adf84f7d11a5a721ad04d9737ce6145a7717ec680fef68086c48fe7,491.200136156851598794,1
0x7c9ac85d5d9d3b30eb19f1722e78011dab401140,DOGECASH (DOGEC),2021-10-25 21:08:56,0x0d6de0eb8a3ea3b7c6a2212de01f3e185506d43cbfa2bdc04d87e5ae543d57f4,"200,000,000",1
0x84a20c68de61e68b563d669aa9c29462101045e7,Unstoppable ... (MOONon...),2021-10-25 21:08:56,0x1de8efae0b3ef27a71eb79383aa5a62aef28bd553c75f885c93b28e95f768fe0,"4,787,928,000.08",1
0x02ff5065692783374947393723dba9599e59f591,YOOSHI (YOOSHI),2021-10-25 21:08:56,0x78e79e4a05f70e0be8cc41999d89db333b7a1d7e697387ea8f773bcecebec5ad,"30,851,286.576814129",1
0x2c449ba613873e7b980faf2b686207d7bd205541,Cobra (COBRA),2021-10-25 21:08:56,0x182f073e8a27101001f64a1d3dfe828ab53bb0b023a5d142d4555810aa9b9df2,"6,735.816398003386324608",1
0x845c22e466c96c69264ae5712447894d19fd7ca7,Pancake LPs (Cake-L...),2021-10-25 21:08:56,0x21355d3d954896eb0d84bfddf592b653caf5bb3b140e2d003396fb092b0e07d9,4.153619821536411571,1
0x88469567a9e6b2dae2d8ea7d8c77872d9a0d43ec,Smart World ... (STTS),2021-10-25 21:08:56,0xc9063e39ce721706bf770147b7509e20e3e0d90de2eb609d8004da58a03925be,"1,037.8024",1
